Año,ODS,Clave de metrópoli,Metrópoli,Índice,Ranking,Tipo de avance (flecha),Color del semáforo
2015,1,02.2.03,Mexicali,71.57626571,17,,Verde claro
2015,1,03.2.01,La Paz,74.78194143,11,,Verde claro
2015,1,03.2.02,Los Cabos,72.29774324,16,,Verde claro
2015,1,04.2.01,Campeche,66.12911763,29,,Amarillo
2015,1,05.1.01,La Laguna,65.71203891,30,,Amarillo
2015,1,05.1.02,Monclova-Frontera,84.22905666,4,,Verde claro
2015,1,05.1.03,Piedras Negras,67.14954568,28,,Amarillo
2015,1,05.1.04,Saltillo,85.89687212,3,,Verde claro
2015,1,05.3.05,Sabinas,74.57927063,12,,Verde claro
2015,1,06.1.01,ZM de Colima-Villa de Álvarez,67.98671711,25,,Verde claro
2015,1,06.3.02,Tecomán,33.58368948,63,,Naranja
2015,1,07.1.01,Tapachula,21.62622114,73,,Naranja
2015,1,07.1.02,Tuxtla Gutiérrez,32.29379857,65,,Naranja
2015,1,08.1.01,ZM de Chihuahua,78.00395434,7,,Verde claro
2015,1,08.1.02,Delicias,63.95947172,31,,Amarillo
2015,1,08.2.03,Juárez,69.29614805,24,,Amarillo
2015,1,09.1.01,ZM de la Ciudad de México,50.68680389,49,,Amarillo
2015,1,10.2.01,Metrópoli de Durango,62.72074044,34,,Amarillo
2015,1,11.1.01,Celaya,53.86464136,44,,Amarillo
2015,1,11.1.02,León,61.82007007,35,,Amarillo
2015,1,11.2.03,Metrópoli de Guanajuato,52.06356699,46,,Amarillo
2015,1,11.2.04,Irapuato,47.93180119,51,,Amarillo
2015,1,11.3.05,Moroleón-Uriangato,6.173553739,79,,Naranja
2015,1,11.3.06,Silao,36.48516174,60,,Amarillo
2015,1,12.1.01,Chilpancingo,18.1328598,74,,Naranja
2015,1,12.2.02,Acapulco,24.36357524,69,,Naranja
2015,1,13.1.01,Pachuca,60.75103515,38,,Amarillo
2015,1,13.1.02,Tulancingo,22.90644163,71,,Naranja
2015,1,14.1.01,Guadalajara,67.39749137,26,,Amarillo
2015,1,14.1.02,Puerto Vallarta,72.80967267,14,,Verde claro
2015,1,14.3.03,Ocotlán,47.4730651,52,,Amarillo
2015,1,15.1.01,Toluca,28.71511083,67,,Naranja
2015,1,16.1.01,La Piedad-Pénjamo,23.69742666,70,,Naranja
2015,1,16.1.02,Morelia,44.88636757,53,,Amarillo
2015,1,16.1.03,Zamora,34.8252371,62,,Naranja
2015,1,16.2.04,Uruapan,31.08854557,66,,Naranja
2015,1,16.3.05,Lázaro Cárdenas,51.57940297,47,,Amarillo
2015,1,17.1.01,Cuautla,27.40370401,68,,Naranja
2015,1,17.1.02,Cuernavaca,44.10814309,54,,Amarillo
2015,1,18.1.01,Tepic,70.54643728,20,,Verde claro
2015,1,19.1.01,Monterrey,88.81417699,1,,Verde claro
2015,1,20.1.01,ZM de Oaxaca,42.35761359,56,,Amarillo
2015,1,20.3.03,Salina Cruz,49.05284257,50,,Amarillo
2015,1,21.1.01,ZM de Puebla-Tlaxcala,37.20578534,58,,Amarillo
2015,1,21.1.02,San Martín Texmelucan,4.174845853,81,,Naranja
2015,1,21.1.03,Tehuacán,21.88359325,72,,Naranja
2015,1,21.3.04,Huauchinango,5.909190238,80,,Naranja
2015,1,22.1.01,ZM de Querétaro,75.57240555,10,,Verde claro
2015,1,23.1.01,Cancún,70.96987764,18,,Verde claro
2015,1,23.2.02,Chetumal,52.43110972,45,,Amarillo
2015,1,23.2.03,Playa del Carmen,78.58510502,6,,Verde claro
2015,1,24.1.01,ZM de San Luis Potosí,70.41836239,21,,Verde claro
2015,1,24.3.03,Rioverde,14.56740604,76,,Naranja
2015,1,25.2.01,Culiacán,76.8488125,8,,Verde claro
2015,1,25.2.02,Los Mochis,69.56070708,23,,Amarillo
2015,1,25.2.03,Mazatlán,76.35025688,9,,Verde claro
2015,1,26.1.01,Guaymas,72.96365846,13,,Verde claro
